date,expt,tube_number,tube_id,tube_name,cell_bkgd,recombined_construct,plate_well,cell_number,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir
200605,ACE2_muts,1,Sample,,293T,none,48-well,125000,SARS1,G70C,400,267686,0.02615,1.567882,0.023827,NA,NA
200605,ACE2_muts,2,Sample1,,G532Ac3,G698C,48-well,125000,SARS1,G70C,400,254324,8.075919,45.587911,13.280893,NA,NA
200605,ACE2_muts,3,Sample2,,G532Ac3,G734A,48-well,125000,SARS1,G70C,400,275783,6.135621,52.41331,9.262731,NA,NA
200605,ACE2_muts,4,Sample3,,G532Ac3,G735A,48-well,125000,SARS1,G70C,400,234897,8.304491,49.765216,12.939596,NA,NA
200605,ACE2_muts,5,Sample4,,G532Ac3,G719B,48-well,125000,SARS1,G70C,400,294179,7.297938,72.130234,9.520623,NA,NA
200605,ACE2_muts,6,Sample5,,G532Ac3,G736A,48-well,125000,SARS1,G70C,400,256007,5.386571,80.81029,6.429331,NA,NA
200605,ACE2_muts,7,Sample6,,G532Ac3,G737B,48-well,125000,SARS1,G70C,400,250751,6.562287,78.447544,8.010859,NA,NA
200605,ACE2_muts,8,Sample7,,293T,none,48-well,125000,VSVG,G70C,16,230829,28.718662,1.646674,30.097343,NA,NA
200605,ACE2_muts,9,Sample8,,G532Ac3,G698C,48-well,125000,VSVG,G70C,16,255075,38.193473,45.487406,40.978393,NA,NA
200605,ACE2_muts,10,Sample9,,G532Ac3,G734A,48-well,125000,VSVG,G70C,16,257787,33.926847,52.173306,36.279889,NA,NA
200605,ACE2_muts,11,Sample10,,G532Ac3,G735A,48-well,125000,VSVG,G70C,16,235114,34.165979,49.320755,36.498793,NA,NA
200605,ACE2_muts,12,Sample11,,G532Ac3,G719B,48-well,125000,VSVG,G70C,16,245964,37.255452,74.429998,38.932982,NA,NA
200605,ACE2_muts,13,Sample12,,G532Ac3,G736A,48-well,125000,VSVG,G70C,16,252151,34.496393,81.253297,35.869602,NA,NA
200605,ACE2_muts,14,Sample13,,G532Ac3,G737B,48-well,125000,VSVG,G70C,16,267445,36.094898,79.399129,37.50053,NA,NA
200605,Envelopes,15,Sample14,,G532Ac3,G627B,24-well,250000,none,G70C,1400,223249,0.081075,78.314796,0.086366,NA,NA
200605,Envelopes,16,Sample15,,G532Ac3,G627B,24-well,250000,SARS1,G70C,1400,156279,77.023145,70.946192,91.590454,NA,NA
200605,Envelopes,17,Sample16,,G532Ac3,G627B,24-well,250000,SARS2-FLAG,G70C,1400,177201,15.530951,74.314479,19.167565,NA,NA
200605,Envelopes,18,Sample17,,G532Ac3,G627B,24-well,250000,G720D,G70C,1400,189652,42.936009,75.016346,51.421944,NA,NA
200605,Envelopes,19,Sample18,,G532Ac3,G627B,24-well,250000,G723C,G70C,1400,198647,41.812864,75.096025,50.394165,NA,NA
200605,Envelopes,20,Sample19,,G532Ac3,G627B,24-well,250000,G730E,G70C,1400,195202,60.252969,74.261534,72.080574,NA,NA
200605,Misc,21,Sample20,,G532Ac3,G725B,24-well,NA,none,none,0,,NA,NA,NA,NA,NA
200605,Misc,22,Sample21,,G532Ac3,G726B,24-well,NA,none,none,0,,NA,NA,NA,NA,NA
200605,Misc,23,Sample22,,G532Ac3,G727B,24-well,NA,none,none,0,,NA,NA,NA,NA,NA
200605,Misc,24,Sample23,,G532Ac3,G725B,24-well,NA,VSVG,LV_G635A,4000,,NA,NA,NA,NA,NA
200605,Misc,25,Sample24,,G532Ac3,G726B,24-well,NA,VSVG,LV_G635A,4000,,NA,NA,NA,NA,NA
200605,Misc,26,Sample25,,G532Ac3,G727B,24-well,NA,VSVG,LV_G635A,4000,,NA,NA,NA,NA,NA
