date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,cell_number,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir
200608,1,Sample,ACE2_muts,293T,none,48-well,125000,SARS1,G70C,200,62723,0.153054,0,0,NA,NA
200608,2,Sample1,ACE2_muts,G532Ac3,G698C,48-well,125000,SARS1,G70C,200,65795,45.223801,48.176913,48.135529,NA,NA
200608,3,Sample2,ACE2_muts,G532Ac3,G734A,48-well,125000,SARS1,G70C,200,81764,40.994814,60.026417,44.201304,NA,NA
200608,4,Sample3,ACE2_muts,G532Ac3,G735A,48-well,125000,SARS1,G70C,200,88658,46.907216,53.01834,49.601106,NA,NA
200608,5,Sample4,ACE2_muts,G532Ac3,G719B,48-well,125000,SARS1,G70C,200,82186,36.155793,88.034458,37.945046,NA,NA
200608,6,Sample5,ACE2_muts,G532Ac3,G736A,48-well,125000,SARS1,G70C,200,91976,30.652562,90.557319,32.18595,NA,NA
200608,7,Sample6,ACE2_muts,G532Ac3,G737B,48-well,125000,SARS1,G70C,200,87240,41.435122,90.403485,42.686514,NA,NA
200608,8,Sample7,ACE2_muts,293T,none,48-well,125000,SARS2-FLAG,G70C,930,81224,0.156358,0.163745,43.609023,NA,NA
200608,9,Sample8,ACE2_muts,G532Ac3,G698C,48-well,125000,SARS2-FLAG,G70C,930,72402,35.173062,46.134085,43.440513,NA,NA
200608,10,Sample9,ACE2_muts,G532Ac3,G734A,48-well,125000,SARS2-FLAG,G70C,930,65991,20.654332,55.380279,26.238166,NA,NA
200608,11,Sample10,ACE2_muts,G532Ac3,G735A,48-well,125000,SARS2-FLAG,G70C,930,48203,26.363504,50.532125,34.382954,NA,NA
200608,12,Sample11,ACE2_muts,G532Ac3,G719B,48-well,125000,SARS2-FLAG,G70C,930,76528,25.739599,87.204683,27.694198,NA,NA
200608,13,Sample12,ACE2_muts,G532Ac3,G736A,48-well,125000,SARS2-FLAG,G70C,930,72122,13.680985,88.00366,14.696707,NA,NA
200608,14,Sample13,ACE2_muts,G532Ac3,G737B,48-well,125000,SARS2-FLAG,G70C,930,154860,24.808214,90.629601,25.698081,NA,NA
200608,15,Sample14,ACE2_muts,293T,none,48-well,125000,VSVG,G70C,2,82440,8.353954,0.212276,28.571429,NA,NA
200608,16,Sample15,ACE2_muts,G532Ac3,G698C,48-well,125000,VSVG,G70C,2,87211,4.687482,56.568552,4.984392,NA,NA
200608,17,Sample16,ACE2_muts,G532Ac3,G734A,48-well,125000,VSVG,G70C,2,61295,3.917122,63.891019,4.190287,NA,NA
200608,18,Sample17,ACE2_muts,G532Ac3,G735A,48-well,125000,VSVG,G70C,2,107811,3.870663,61.398188,3.950509,NA,NA
200608,19,Sample18,ACE2_muts,G532Ac3,G719B,48-well,125000,VSVG,G70C,2,14947,5.579715,85.395063,5.656534,NA,NA
200608,20,Sample19,ACE2_muts,G532Ac3,G736A,48-well,125000,VSVG,G70C,2,7502,4.265529,81.418288,4.64964,NA,NA
200608,21,Sample20,ACE2_muts,G532Ac3,G737B,48-well,125000,VSVG,G70C,2,87419,3.930496,90.804059,3.893928,NA,NA
200608,22,Sample21,SARS2_envelopes,G532Ac3,G627B,24-well,250000,SARS1,G70C,1400,203660,82.213493,68.47049,95.49578,NA,NA
200608,23,Sample22,SARS2_envelopes,G532Ac3,G627B,24-well,250000,SARS2-FLAG,G70C,1400,241072,36.477069,72.83799,44.466149,NA,NA
200608,24,Sample23,SARS2_envelopes,G532Ac3,G627B,24-well,250000,G740A,G70C,1400,212497,0.189179,72.263608,0.274815,NA,NA
200608,25,Sample24,SARS2_envelopes,G532Ac3,G627B,24-well,250000,G741A,G70C,1400,240085,36.812795,70.553762,44.730768,NA,NA
200608,26,Sample25,SARS2_envelopes,G532Ac3,G627B,24-well,250000,G742B,G70C,1400,247067,51.26666,71.38509,60.742534,NA,NA
200608,27,Sample26,SARS2_envelopes,G532Ac3,G627B,24-well,250000,G720D,G70C,1400,222076,46.657,70.658693,55.875118,NA,NA
200608,28,Sample27,Vif_test,G532Ac3,G267A,24-well,250000,G379A,transient_tfxn,NA,,NA,NA,NA,NA,NA
200608,29,Sample28,Vif_test,G532Ac3,G267A,24-well,250000,G379A,transient_tfxn,NA,,NA,NA,NA,NA,NA
200608,30,Sample29,Vif_test,G532Ac3,G333B,24-well,250000,G379A,transient_tfxn,NA,,NA,NA,NA,NA,NA
200608,31,Sample30,Vif_test,G532Ac3,G333B,24-well,250000,G379A,transient_tfxn,NA,,NA,NA,NA,NA,NA
200608,32,Sample31,Lentibarcode,293T,none,6-well,NA,Control 293Ts without anything,NA,0,,0,0,0,NA,NA
200608,33,Sample32,Lentibarcode,293T,none,6-well,NA,Supe from G581B/G594 cells transfected with PsPax2 and VSVG,NA,16000,,0,0,0,NA,NA
