date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_blu,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,pct_grn_gvn_nir,comment,,,
200617,1,Sample,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,3.16E-06,100000,169860,0,86.8,0,NA,NA,NA,NA,NA,NA,NA,,,
200617,2,Sample1,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.00001,100000,167819,4.17E-03,87.2,4.10E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,3,Sample2,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,3.16E-05,100000,156737,1.28E-03,87.8,1.45E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,4,Sample3,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.0001,100000,172967,2.89E-03,87.9,3.29E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,5,Sample4,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.000316228,100000,196341,7.64E-03,87.1,8.77E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,6,Sample5,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.001,100000,163012,0.044,88.4,0.049,NA,NA,NA,NA,NA,NA,NA,,,
200617,7,Sample6,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.003162278,100000,149377,0.16,88.2,0.17,NA,NA,NA,NA,NA,NA,NA,,,
200617,8,Sample7,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.01,100000,163579,0.6,87.9,0.63,NA,NA,NA,NA,NA,NA,NA,,,
200617,9,Sample8,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.031622777,100000,165491,2.44,86.9,2.54,NA,NA,NA,NA,NA,NA,NA,,,
200617,10,Sample9,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.1,100000,160364,22.9,86.8,24.1,NA,NA,NA,NA,NA,NA,NA,,,
200617,11,Sample10,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,0.316227766,100000,143947,63.4,84.1,66.1,NA,NA,NA,NA,NA,NA,NA,,,
200617,12,Sample11,Dilutions,293T_G542Ac3,G698C,48-well,SARS1,G70C,1,100000,100600,71,65.7,77.4,NA,NA,NA,NA,NA,NA,NA,,,
200617,13,Sample12,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,3.16E-06,100000,171164,5.26E-03,88.8,5.27E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,14,Sample13,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.00001,100000,165557,3.62E-03,89.5,2.70E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,15,Sample14,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,3.16E-05,100000,163328,0,88.9,0,NA,NA,NA,NA,NA,NA,NA,,,
200617,16,Sample15,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.0001,100000,172529,0,89.3,0,NA,NA,NA,NA,NA,NA,NA,,,
200617,17,Sample16,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.000316228,100000,172191,3.48E-03,88.9,3.92E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,18,Sample17,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.001,100000,158462,6.31E-04,88.6,7.12E-04,NA,NA,NA,NA,NA,NA,NA,,,
200617,19,Sample18,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.003162278,100000,168384,5.34E-03,89.3,5.32E-03,NA,NA,NA,NA,NA,NA,NA,,,
200617,20,Sample19,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.01,100000,162064,0.023,89,0.024,NA,NA,NA,NA,NA,NA,NA,,,
200617,21,Sample20,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.031622777,100000,146467,0.06,88,0.061,NA,NA,NA,NA,NA,NA,NA,,,
200617,22,Sample21,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.1,100000,139144,0.19,88.8,0.2,NA,NA,NA,NA,NA,NA,NA,,,
200617,23,Sample22,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,0.316227766,100000,125762,0.82,85.4,0.87,NA,NA,NA,NA,NA,NA,NA,,,
200617,24,Sample23,Dilutions,293T_G542Ac3,G698C,48-well,SARS2,G70C,1,100000,96101,4.92,67,5.86,NA,NA,NA,NA,NA,NA,NA,,,
