date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,comment
200716,1,Sample,Staining,G542Ac3,None,24-well,None,None,No_dox,NA,3474,NA,0,NA,NA,NA,12.288605,NA,1hr_stain
200716,2,Sample1,Staining,G542Ac3,G627B,24-well,None,None,No_dox,NA,4573,NA,0.328012,NA,NA,NA,13.819508,649.31427,1hr_stain
200716,3,Sample2,Staining,G542Ac3,G698C,24-well,None,None,No_dox,NA,4445,NA,0,NA,NA,NA,12.046942,NA,1hr_stain
200716,4,Sample3,Staining,G542Ac3,G714C,24-well,None,None,No_dox,NA,3658,NA,0.027337,NA,NA,NA,12.160275,329.528015,1hr_stain
200716,5,Sample4,Staining,G542Ac3,G719B,24-well,None,None,No_dox,NA,6834,NA,0,NA,NA,NA,11.291256,NA,1hr_stain
200716,6,Sample5,Staining,G542Ac3,None,24-well,None,None,Dox,NA,1192,NA,0,NA,NA,NA,16.973331,NA,1hr_stain
200716,7,Sample6,Staining,G542Ac3,G627B,24-well,None,None,Dox,NA,1618,NA,65.883807,NA,NA,NA,1161.850586,2511.398926,1hr_stain
200716,8,Sample7,Staining,G542Ac3,G698C,24-well,None,None,Dox,NA,2105,NA,47.553444,NA,NA,NA,1151.271484,2487.620605,1hr_stain
200716,9,Sample8,Staining,G542Ac3,G714C,24-well,None,None,Dox,NA,1432,NA,61.312849,NA,NA,NA,1308.303589,2704.675049,1hr_stain
200716,10,Sample9,Staining,G542Ac3,G719B,24-well,None,None,Dox,NA,2109,NA,93.029872,NA,NA,NA,890.00769,1041.686157,1hr_stain
200716,11,Sample10,Staining,G542Ac3,None,12-well,None,None,Dox,NA,18897,NA,0.037043,NA,NA,NA,10.667738,716.000732,1hr_stain
200716,12,Sample11,Staining,G542Ac3,G758A,12-well,None,None,Dox,NA,14704,NA,73.850653,NA,NA,NA,12.490602,13.254467,1hr_stain
200716,13,Sample12,Staining,G542Ac3,G698C,12-well,None,None,Dox,NA,19376,NA,47.099505,NA,NA,NA,1538.068604,2587.683594,1hr_stain
200716,14,Sample13,Staining,G542Ac3,G734A,12-well,None,None,Dox,NA,14802,NA,56.890961,NA,NA,NA,17.698181,23.405556,1hr_stain
200716,15,Sample14,Staining,G542Ac3,G735A,12-well,None,None,Dox,NA,28113,NA,47.298403,NA,NA,NA,11.008539,13.450909,1hr_stain
200716,16,Sample15,Staining,G542Ac3,G755A,12-well,None,None,Dox,NA,12606,NA,31.469142,NA,NA,NA,13.10369,18.873028,1hr_stain
200716,17,Sample16,Staining,G542Ac3,G756A,12-well,None,None,Dox,NA,14042,NA,20.118217,NA,NA,NA,11.550305,16.812874,1hr_stain
200716,18,Sample17,Staining,G542Ac3,G757A,12-well,None,None,Dox,NA,14421,NA,31.204493,NA,NA,NA,11.265641,15.882441,1hr_stain
200716,19,Sample18,Two_color,G542Ac3,G752A/G758A,12-well,None,G699A,0,NA,116899,NA,30.92242,0,51.102234,0,NA,NA,NA
200716,20,Sample19,Two_color,G542Ac3,G752A/G758A,12-well,G776C,G699A,1400,NA,120915,NA,34.490344,0.004796,45.192077,0.01281,NA,NA,NA
200716,21,Sample20,Two_color,G542Ac3,G752A/G758A,12-well,G777A,G699A,1400,NA,136976,NA,35.266032,0.00414,45.122503,0.00809,NA,NA,NA
200716,22,Sample21,Two_color,G542Ac3,G752A/G758A,12-well,G778B,G699A,1400,NA,121662,NA,34.959149,0.002351,45.03707,0.041976,NA,NA,NA
200716,23,Sample22,Two_color,G542Ac3,G752A/G758A,12-well,G740D,G699A,1400,NA,119653,NA,36.150368,0.180326,44.764444,21.627273,NA,NA,NA
200716,24,Sample23,Two_color,G542Ac3,G752A/G758A,12-well,G764B,G699A,200,NA,132810,NA,31.075973,0.02423,49.654393,1.980408,NA,NA,NA
200716,25,Sample24,Two_color,G542Ac3,G752A/G758A,12-well,G764B,G699A,1200,NA,114383,NA,38.820454,0.184668,41.735223,26.873769,NA,NA,NA
200716,26,Sample25,Two_color,G542Ac3,G752A/G758A,12-well,WIV1,G699A,1400,NA,134556,NA,31.849936,0.088669,42.441809,2.414723,NA,NA,NA
200716,27,Sample26,Two_color,G542Ac3,G752A/G758A,12-well,WIV1,G699A,1400,NA,122396,NA,31.635021,0.028409,43.178699,1.265871,NA,NA,NA
200716,28,Sample27,Two_color,G542Ac3,G752A/G758A,12-well,VSVG,G699A,6,NA,122567,NA,31.179681,0.939397,50.409164,0.961398,NA,NA,NA
200716,29,Sample28,Two_color,G542Ac3,G752A/G758A,12-well,SARS1,G699A,150,NA,119249,NA,30.558747,0.013721,50.303986,0.773501,NA,NA,NA
200716,30,Sample29,Two_color,G542Ac3,G752A/G758A,12-well,SARS1,G699A,1300,NA,116540,NA,36.092329,0.549189,44.850695,40.85213,NA,NA,NA
