name,cells,clone,bxb1,selection,red,greed_red,green,neither
Sample.fcs,Int-iCasp9-Blast,3,added,None,5.47,0.036,6.2,88.294
Sample(1)_duplicate.fcs,Int-iCasp9-Blast,3,none,None,4.77,0.14,5.24,89.85
Sample(2).fcs,Int-Blast,2,added,None,7.22,0.078,12.5,80.202
Sample(3).fcs,Int-Blast,2,none,None,6.88,0.16,12.7,80.26
Sample(4).fcs,iCasp9-Blast,12,added,None,8.17,0.058,8.12,83.652
Sample(5).fcs,iCasp9-Blast,12,none,None,0.00073,0.012,0.044,99.94327
Sample(6).fcs,Int-iCasp9-Blast,3,added,AP1903,18.3,0.86,48.1,32.74
Sample(7).fcs,Int-iCasp9-Blast,3,none,AP1903,14.6,0.53,52.1,32.77
Sample(8).fcs,Int-Blast,2,added,AP1903,26.6,0,24.6,48.8
Sample(9).fcs,Int-Blast,2,none,AP1903,3.08,0.38,6.92,89.62
Sample(10).fcs,iCasp9-Blast,12,added,AP1903,42.4,1.57,39.2,16.83
Sample(11).fcs,iCasp9-Blast,12,none,AP1903,0.14,0,0.19,99.67
