"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
261895,165233,123,139799,92065,122,171,88,0,25,84,0,2777,2111,37,-140,34,0,-58,55,0,0.00682616
181534,149343,115,60200,54423,105,-89,32,0,30,89,0,2091,1939,29,166,111,0,33,82,0,0.0107268
396865,265056,133,198201,132022,129,59,66,0,48,86,0,4326,3127,47,52,55,0,52,46,0,0.0107268
375544,234506,125,149103,113186,122,184,170,0,42,84,0,5572,3950,53,93,68,0,264,118,0,0.0185282
230495,139841,131,156392,124483,119,-21,76,0,127,102,0,3078,2496,39,-31,58,0,12,71,0,0.0185282
385987,254228,134,164651,109803,128,22,81,0,-9,90,0,6142,4196,56,125,76,0,56,70,0,0.0195033
391377,265604,128,157493,126597,121,-66,63,0,-47,80,0,4680,3390,49,67,66,0,-4,65,0,0.0224288
284875,198006,121,154865,125767,121,155,134,0,-26,81,0,3696,3050,42,-34,47,0,-26,54,0,0.029255
262708,186710,124,102815,87226,111,-78,24,0,12,79,0,1690,1335,21,131,73,0,4,57,0,0.0380315
135791,111707,121,141909,123634,106,83,82,0,119,215,0,298,217,0,91,74,0,51,71,0,0.0390066
219556,152027,120,62233,48026,114,-55,33,0,10,55,0,1263,964,0,-77,44,0,8,84,0,0.0399818
238585,154219,126,142293,112549,114,-55,69,0,-61,61,0,2100,1492,30,-108,32,0,-104,50,0,0.040957
365417,222349,133,179209,118590,127,19,54,0,112,103,0,6348,4535,56,58,62,0,133,118,0,0.0507086
358259,209441,132,208226,130095,130,55,78,0,229,161,0,4369,2995,49,43,37,0,39,59,0,0.052659
253401,176868,125,133793,95657,118,108,74,0,-10,48,0,126,95,0,-102,39,0,23,62,0,0.0633858
158274,122390,126,177184,138143,113,102,80,0,296,325,0,146,210,0,12,79,0,-33,42,0,0.0672864
409543,234586,131,278627,167807,139,4504,2606,49,165,111,0,81,113,0,24,43,0,86,87,0,0.0672864
449511,276773,135,302168,195437,131,7,112,0,185,103,0,1961,1436,28,86,81,0,-77,57,0,0.0682616
295111,206368,118,113093,77180,117,19,78,0,37,88,0,3614,2550,43,-27,45,0,-53,51,0,0.0741126
199852,130850,130,144699,106078,119,-62,107,0,214,176,0,206,270,0,33,66,0,74,76,0,0.0750878
137987,108130,105,132647,108291,109,39,64,0,218,205,0,271,214,0,-65,48,0,-22,61,0,0.0760629
423829,279591,132,143619,93778,126,5,50,0,131,93,0,6624,4753,56,-118,50,0,149,111,0,0.0789884
