"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
382804,246607,146,161610,82617,146,3299,1272,32,2.50061,330,129,0,109,71,0,149,103,0,792,402,0,0.00390371
230281,151886,125,129253,86347,124,1176,632,0,-0.499193,151,117,0,-70,62,0,40,96,0,441,312,0,0.00585556
281999,181251,125,170756,100238,127,4265,2037,55,0.501009,269,245,0,146,146,0,243,144,0,660,381,0,0.00780742
388646,253144,132,280439,184846,129,660,397,0,-0.498386,299,261,0,228,159,0,104,130,0,788,458,0,0.0253741
283397,200075,122,106251,73069,119,1992,1189,22,0.501816,270,227,0,-78,57,0,120,85,0,802,622,0,0.0341574
622870,317336,166,294696,159310,147,40486,18067,132,2.50222,1026,650,0,0,93,0,544,391,0,4178,2302,50,0.0419649
193997,154948,115,69576,58068,107,4,90,0,-0.497579,54,98,0,82,72,0,8,69,0,164,194,0,0.0507482
194345,93948,132,73488,33397,131,94,72,0,1.50282,95,102,0,39,82,0,68,63,0,-27,78,0,0.0517241
257173,199402,117,97155,74002,113,246,194,0,-0.496772,109,108,0,80,70,0,127,57,0,336,200,0,0.0595316
324969,198556,148,176109,107574,131,3767,2199,46,0.503429,196,150,0,6,63,0,80,77,0,826,559,0,0.0614834
519141,265746,167,425648,186060,166,3301,1279,35,2.50464,432,265,0,-74,64,0,141,99,0,983,651,0,0.0751464
271903,165878,134,143296,69705,139,1049,525,0,0.505043,217,117,0,184,81,0,85,72,0,484,284,0,0.0790501
319908,216971,137,184269,127399,119,193,163,0,2.50625,136,195,0,147,70,0,37,56,0,372,243,0,0.0956409
306736,188916,125,142724,96318,125,879,508,0,0.506657,94,97,0,-16,42,0,16,84,0,407,298,0,0.0975927
252010,173950,119,104332,76560,119,564,430,0,1.50767,42,71,0,-135,13,0,30,65,0,248,225,0,0.106376
480312,246500,170,499123,314725,159,7697,3630,68,2.50787,774,684,0,42,74,0,407,329,0,3172,2427,34,0.106376
239542,164688,124,201641,134915,122,407,284,0,-0.491931,248,147,0,107,95,0,134,65,0,627,417,0,0.107352
295131,197755,121,148535,117727,120,534,385,0,0.508271,262,189,0,110,102,0,74,73,0,274,236,0,0.11028
526019,256288,149,237541,116157,144,3898,1877,50,1.50847,273,173,0,111,102,0,210,134,0,961,532,0,0.111256
219158,172761,118,315295,247060,121,4379,3608,40,2.51029,404,542,0,85,94,0,94,82,0,78,108,0,0.133702
368707,231512,131,124967,86462,129,2300,1291,29,1.51089,372,314,0,39,63,0,64,106,0,1096,713,0,0.142485
184883,138985,124,87200,65968,111,1478,1076,11,2.5111,214,156,0,25,70,0,190,104,0,351,261,0,0.150293
453584,240818,156,214102,105944,143,2643,1492,33,-0.488703,302,196,0,30,139,0,184,154,0,1462,832,0,0.152245
153802,116054,108,91281,70618,108,207,78,0,1.5117,62,122,0,46,98,0,-36,63,0,535,387,0,0.167859
248351,175711,124,112205,84329,113,2268,1626,29,2.5119,215,263,0,77,82,0,119,149,0,465,397,0,0.175667
329233,226539,133,177438,83311,127,1458,766,0,-0.487896,177,136,0,15,83,0,79,104,0,584,405,0,0.182498
332197,201638,132,119440,63219,129,1449,906,0,0.512306,161,191,0,81,69,0,113,127,0,821,478,0,0.188354
483572,266700,155,188904,106173,134,5147,2797,54,1.51251,238,240,0,23,94,0,189,86,0,860,493,0,0.190306
400606,193141,146,195407,115924,136,2707,1397,37,0.513113,495,375,0,181,159,0,166,99,0,1256,826,0,0.200065
182759,130345,127,202096,125583,127,565,326,0,2.51674,221,198,0,-7,101,0,73,66,0,99,93,0,0.261548
363286,234187,143,232207,150748,129,1758,1101,16,0.517147,207,275,0,-45,72,0,179,89,0,1120,744,0,0.265452
211785,155841,122,80791,60454,112,742,433,0,1.51735,206,129,0,64,94,0,-21,27,0,286,226,0,0.265452
199217,158980,108,56821,45739,105,72,119,0,-0.482247,75,113,0,101,68,0,8,58,0,330,191,0,0.26838
374487,243417,130,166364,104398,125,5078,2934,51,1.51816,378,273,0,100,89,0,146,94,0,1165,792,0,0.271308
227561,162813,112,106590,82987,109,2890,1842,37,1.51896,173,259,0,116,75,0,70,120,0,1064,719,0,0.277163
485138,253957,154,297156,164904,148,3015,1235,45,0.520375,324,293,0,-37,99,0,84,78,0,1273,771,0,0.284971
277492,209512,120,189650,133249,118,208,95,0,0.522796,372,328,0,-32,69,0,-59,30,0,198,101,0,0.333767
508428,250878,151,158508,93082,142,341,207,0,0.523603,213,242,0,28,94,0,-93,56,0,583,339,0,0.349382
307891,199393,126,86352,58727,117,402,183,0,1.5238,212,181,0,52,75,0,96,86,0,589,389,0,0.351334
318841,218528,125,146365,99617,118,1722,1100,14,2.52401,258,297,0,116,129,0,43,85,0,979,704,0,0.359141
307843,198030,134,157422,98462,129,2691,1551,35,0.526024,128,177,0,65,99,0,9,89,0,472,286,0,0.383539
141379,122298,109,140665,121154,107,222,161,0,1.52623,228,247,0,54,71,0,33,51,0,16,37,0,0.384515
144317,119763,118,193210,149997,112,173,201,0,2.52723,39,102,0,55,92,0,24,79,0,30,57,0,0.392323
616851,347726,154,437474,221788,160,7993,3526,72,-0.472564,603,450,0,-1,96,0,261,186,0,1861,948,0,0.39525
144715,118812,102,183188,141912,111,330,237,0,0.527638,192,179,0,91,99,0,75,61,0,54,80,0,0.396226
412977,221787,154,417832,272339,144,24217,13056,84,-0.47095,1297,910,0,53,120,0,538,387,0,4000,2883,42,0.420625
387703,269248,124,161205,97777,126,1121,689,0,0.529252,200,130,0,-109,76,0,28,80,0,436,367,0,0.422576
203901,141127,123,91069,64553,117,11104,7783,63,2.53046,364,290,0,90,104,0,278,210,0,1640,1288,19,0.446975
172446,136388,112,135359,103289,114,264,167,0,0.531672,127,175,0,-62,42,0,-17,42,0,-24,85,0,0.473325
180927,134606,113,87597,67376,111,413,378,0,0.533286,53,109,0,-45,19,0,-61,29,0,117,102,0,0.490891
149861,107346,125,176058,116391,125,408,234,0,2.53369,107,93,0,34,47,0,-2,68,0,299,286,0,0.494795
129941,107555,102,140564,115058,110,453,419,0,0.534093,279,205,0,34,49,0,15,78,0,55,112,0,0.498699
171300,137241,112,223137,180109,113,323,242,0,1.5351,271,261,0,-23,83,0,116,101,0,-8,47,0,0.517241
194388,139284,117,62321,49920,110,174,235,0,0.535707,120,93,0,44,72,0,11,67,0,214,178,0,0.529928
312719,217330,124,70119,46092,116,677,446,0,0.536514,115,125,0,87,89,0,67,51,0,407,249,0,0.539688
450576,227084,154,411117,211565,148,7406,3707,69,1.53672,447,305,0,233,136,0,253,150,0,1178,676,0,0.540664
207808,143037,114,83240,67406,108,305,172,0,0.538128,-27,71,0,-20,34,0,64,67,0,294,164,0,0.572869
509169,271799,143,204777,109932,137,3990,2030,50,0.541356,122,108,0,-66,86,0,106,102,0,1036,623,0,0.608979
127568,103287,106,156734,126591,108,361,302,0,2.54176,74,103,0,107,92,0,31,103,0,-57,34,0,0.612882
311218,219542,122,148178,91472,129,1238,887,0,-0.458039,118,122,0,-103,29,0,129,106,0,240,188,0,0.61581
144018,126706,111,231065,204914,112,589,493,0,2.54257,500,451,0,137,108,0,-18,35,0,27,78,0,0.624593
203834,157483,121,79737,63662,109,3111,2069,37,-0.456425,192,188,0,-27,84,0,134,167,0,897,733,0,0.634353
583966,295307,147,587571,312487,151,2553,1376,32,0.54539,239,208,0,93,114,0,272,92,0,1146,718,0,0.661679
270796,188744,135,84426,57856,117,695,404,0,1.54559,79,117,0,52,86,0,12,108,0,343,314,0,0.662655
190503,147830,113,62572,47425,106,892,561,0,0.548618,88,95,0,94,127,0,-28,60,0,137,179,0,0.687053
