"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
441065,263324,130,216712,123295,132,1522,775,0,1.50028,486,472,0,0,77,0,184,224,0,2777,1624,39,0.00312073
296963,217765,126,134161,94325,118,1212,752,0,3.50057,484,418,0,141,85,0,350,228,0,2028,1339,26,0.00520122
281536,200526,128,137745,97976,121,106,99,0,1.50099,223,262,0,-45,67,0,161,113,0,805,585,0,0.0135232
416764,251291,128,220090,127602,135,3797,2453,42,1.50241,445,357,0,-5,125,0,345,146,0,1995,1082,17,0.0353683
220622,163574,121,138500,91237,120,3682,2537,42,0.502975,559,536,0,-6,50,0,501,263,0,2946,1862,39,0.0520122
461885,232841,148,240277,140247,137,1803,835,0,-0.496459,676,433,0,-66,92,0,392,186,0,2476,1504,31,0.0624147
267011,196454,122,170521,116207,123,1434,862,0,3.50411,561,441,0,-32,58,0,378,226,0,2300,1538,29,0.0696964
351770,208030,142,213743,125754,132,538,270,0,1.50453,199,206,0,116,71,0,97,154,0,787,405,0,0.0821793
370659,240365,142,140728,98804,123,1005,650,0,2.50467,99,99,0,38,91,0,0,99,0,206,149,0,0.089461
418774,259862,134,139603,86065,130,1907,974,0,3.50482,546,430,0,33,63,0,434,193,0,2486,1466,34,0.0915415
313526,217917,126,98951,62240,128,359,188,0,1.50524,109,107,0,76,112,0,158,83,0,653,360,0,0.0957025
646034,353008,137,414483,228982,136,3895,1908,52,2.50609,1397,980,0,-22,78,0,669,335,0,5093,2410,61,0.106105
284520,185100,141,136830,90345,124,2188,1469,27,3.50623,463,406,0,204,102,0,287,230,0,1481,1008,5,0.107145
398562,269294,125,207359,132080,130,10591,5905,65,1.50666,1210,898,0,19,64,0,826,524,0,6990,4264,57,0.112346
258071,208705,117,114814,91100,112,499,413,0,1.50737,114,134,0,74,98,0,71,71,0,421,383,0,0.123789
301994,227056,125,120352,88664,115,592,438,0,2.50751,431,375,0,92,73,0,220,122,0,1359,966,0,0.123789
418957,252719,136,223905,118939,140,3690,1711,52,-0.49221,889,623,0,87,99,0,432,242,0,3431,2012,44,0.12795
200962,152497,116,77643,57840,110,69,99,0,0.507932,298,282,0,-15,93,0,105,100,0,1188,846,0,0.12899
339781,240050,125,104462,75454,116,624,401,0,1.50807,365,440,0,202,105,0,249,217,0,1760,1224,19,0.12899
433295,234564,144,224086,124870,142,1276,703,0,1.50878,630,518,0,116,72,0,353,237,0,3380,2002,41,0.152916
299185,223218,117,94110,62668,116,1478,933,0,3.50907,430,360,0,81,89,0,259,172,0,1738,1153,19,0.156037
397190,265923,136,136839,93142,126,2918,1736,34,-0.490793,562,584,0,138,61,0,417,269,0,2857,1913,35,0.157077
274144,175741,123,77863,59937,118,473,315,0,0.509348,113,144,0,-120,36,0,-29,97,0,761,515,0,0.157077
421918,231896,150,378678,172599,151,480,305,0,1.50949,1079,761,0,70,83,0,514,400,0,4982,3565,45,0.158117
294479,204543,115,162242,110672,124,360,332,0,2.50963,443,372,0,132,111,0,264,150,0,1463,1038,8,0.158117
335657,216062,134,141222,88062,133,324,218,0,3.50977,230,171,0,31,95,0,80,78,0,1051,670,0,0.160198
610333,312540,151,471870,247510,150,1669,872,0,-0.490085,1250,808,0,-20,54,0,507,357,0,4589,2594,51,0.164359
347500,243761,134,161718,112455,132,1020,577,0,0.510057,670,518,0,-28,68,0,276,242,0,3053,2181,37,0.165399
363386,257566,129,217780,148546,127,335,235,0,1.5102,503,491,0,96,126,0,196,162,0,1826,1526,21,0.17164
442120,263698,151,148873,93125,132,314,125,0,3.51048,32,86,0,-27,57,0,171,148,0,730,562,0,0.173721
394098,244451,129,185270,112222,132,1899,908,0,2.51176,481,432,0,-23,65,0,300,189,0,2266,1431,28,0.196606
309646,215402,119,108439,74178,115,618,353,0,3.5119,296,354,0,-21,57,0,317,181,0,1813,1198,18,0.196606
302260,211262,120,124336,90782,116,399,366,0,1.51232,95,142,0,-2,84,0,143,107,0,601,398,0,0.201807
390578,245669,136,156024,91463,133,2525,1301,33,2.51246,539,457,0,70,68,0,244,160,0,2152,1249,26,0.202848
292175,192474,124,144338,95911,125,23434,15699,81,3.51261,867,691,0,111,155,0,704,354,0,4210,2445,48,0.21325
217493,137240,119,139867,90322,120,1124,582,0,-0.487252,384,376,0,43,64,0,185,142,0,1600,1094,13,0.222612
206577,135208,121,213527,131247,122,1184,674,0,2.51317,294,322,0,193,104,0,107,88,0,1335,833,0,0.235095
231052,175830,117,211102,162795,117,168,67,0,3.51331,29,81,0,28,61,0,-17,75,0,16,62,0,0.237176
555281,281558,146,272037,132255,146,3815,1930,46,0.513598,873,724,0,2,90,0,570,325,0,4389,2353,54,0.241337
468451,246131,136,210922,113782,137,1537,808,0,3.51402,547,327,0,-38,74,0,270,165,0,1951,986,0,0.2559
238060,167284,121,101650,73206,115,966,564,0,-0.485836,450,321,0,-68,43,0,231,192,0,1947,1254,23,0.2559
370325,252774,123,173168,119673,122,2169,1142,28,0.514306,291,269,0,8,57,0,169,192,0,1563,1049,9,0.2559
325326,213599,138,144128,83392,126,820,457,0,2.51459,573,413,0,144,67,0,234,192,0,2027,1233,25,0.259021
383732,250938,126,188605,120005,129,10134,5302,66,1.51516,1180,870,0,-18,53,0,649,414,0,5366,3321,53,0.267343
215755,146298,120,207299,126246,121,1506,842,0,1.51586,408,363,0,-38,71,0,356,170,0,1982,1164,20,0.279826
219025,187014,104,48778,46542,61,382,389,0,-0.483003,113,184,0,43,57,0,89,148,0,741,672,0,0.295429
236967,161549,120,219310,115071,129,2172,1122,28,2.51742,552,512,0,108,92,0,322,171,0,2418,1663,32,0.305832
615739,331268,151,451497,241134,152,8600,4394,69,3.51756,1514,943,0,24,99,0,775,431,0,6561,3656,61,0.305832
415339,261248,131,189314,116340,130,507,322,0,1.51799,275,265,0,8,80,0,146,99,0,1047,615,0,0.315194
239810,128903,134,131867,85329,128,697,446,0,3.51827,391,291,0,78,90,0,125,156,0,1466,945,0,0.317275
316194,208323,129,140122,88832,127,458,300,0,1.5187,232,242,0,-36,50,0,57,70,0,1500,991,0,0.323516
333135,214691,145,263366,183829,129,1388,831,0,-0.480878,501,393,0,17,52,0,284,271,0,2238,1606,27,0.332878
568886,331072,141,389329,235536,140,2880,1437,38,2.52025,740,615,0,102,117,0,338,267,0,3743,1963,47,0.346401
362269,262889,128,148502,99731,124,1297,797,0,0.52068,454,353,0,-41,68,0,266,137,0,1534,1034,8,0.358884
349705,240075,119,127562,81389,125,1778,964,0,1.52082,616,489,0,26,57,0,442,229,0,2148,1464,26,0.358884
438217,265783,144,234055,138533,134,5911,3168,58,3.5211,713,612,0,-166,38,0,488,270,0,3921,2462,46,0.364086
375083,253708,129,158727,101149,127,2406,1319,29,-0.478754,654,545,0,-119,43,0,367,268,0,2806,1695,37,0.372408
344191,252314,120,178466,126326,122,614,360,0,0.521388,319,302,0,112,94,0,265,166,0,1457,1033,7,0.374488
352237,227506,129,192508,123393,133,662,374,0,3.52181,452,287,0,-1,89,0,233,144,0,1774,1011,6,0.378649
355103,221109,122,245363,160942,124,125,161,0,2.52238,249,240,0,-49,98,0,50,108,0,458,291,0,0.389051
392604,250042,132,191533,120570,127,855,552,0,3.52252,568,521,0,-102,40,0,394,233,0,2720,1664,34,0.391132
725659,370209,161,444755,205900,162,5829,2595,66,-0.477337,1482,972,0,295,101,0,888,406,0,6671,3332,67,0.395293
286141,196469,124,133809,105685,118,1059,766,0,0.522805,797,815,0,-77,30,0,452,362,0,3661,2887,39,0.396333
211499,157415,115,79445,59903,114,205,186,0,3.52323,191,176,0,34,89,0,24,114,0,775,540,0,0.399454
172516,109701,117,253614,151150,122,100,137,0,0.524221,168,119,0,-23,67,0,7,54,0,6,61,0,0.418178
263443,189183,120,92491,66581,115,481,362,0,1.52436,151,153,0,-88,55,0,64,106,0,1054,767,0,0.419219
324568,218667,129,142245,96510,123,1342,643,0,-0.475212,510,356,0,-44,84,0,314,130,0,1770,1157,21,0.430661
203727,140505,114,142993,94679,117,5153,2849,54,2.52521,578,413,0,48,164,0,249,169,0,2541,1402,36,0.433782
169602,142516,125,138419,111205,111,228,358,0,3.52535,161,281,0,40,69,0,26,46,0,98,51,0,0.435862
246323,178746,117,101592,71205,116,819,447,0,2.52592,196,165,0,50,62,0,69,129,0,1206,792,0,0.443144
199231,135639,131,97426,64071,131,218,153,0,-0.473796,164,133,0,188,100,0,279,128,0,1153,666,0,0.444184
314937,222447,123,121662,82908,120,457,371,0,0.526346,439,350,0,-65,38,0,330,227,0,2113,1590,27,0.444184
216348,167829,107,102068,74159,111,840,526,0,3.52748,381,297,0,27,116,0,262,178,0,1055,751,0,0.453547
