"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%3) - 0.5 + (Event #/(4082 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
171222,106644,123,114226,76719,118,18,61,0,0.500245,195,124,0,1116,758,0,88,96,0,41,96,0,0.0087862
312687,209928,129,111276,71209,123,-75,41,0,0.50098,59,70,0,3153,2248,41,-64,53,0,-162,2,0,0.0263586
445246,274592,137,429635,297310,132,108,128,0,1.50122,160,198,0,5973,3980,55,-93,47,0,61,84,0,0.0292873
434030,257646,132,250553,130801,139,46,60,0,0.501714,173,169,0,3666,2415,46,87,72,0,12,75,0,0.0370973
375011,248365,125,122471,76803,121,232,101,0,-0.497061,107,115,0,2426,1741,34,77,80,0,126,80,0,0.0654084
156933,130814,108,238772,198935,114,36,83,0,1.50343,34,171,0,233,209,0,-86,35,0,-64,41,0,0.0702896
440809,278073,132,206049,131732,131,84,90,0,-0.496326,247,282,0,2586,1988,36,24,74,0,14,89,0,0.0712659
408476,245589,133,152418,90592,130,-2,61,0,0.503919,47,72,0,5394,3623,54,-159,32,0,25,71,0,0.0732184
344351,222188,127,134635,87519,123,158,95,0,1.50416,47,62,0,1922,1490,27,-77,70,0,33,48,0,0.0751708
347108,221611,146,172569,104417,128,-29,74,0,1.5049,110,121,0,2201,1547,31,-130,26,0,-81,54,0,0.0859095
125102,103378,105,126808,100191,105,-91,74,0,1.50563,66,72,0,-22,72,0,-45,67,0,-74,43,0,0.095672
490947,268311,149,274715,160916,140,26,105,0,-0.493387,199,188,0,3040,1979,42,72,105,0,82,85,0,0.117149
209437,143593,115,113259,82882,115,116,67,0,-0.492652,156,112,0,3118,2408,41,4,60,0,73,64,0,0.119102
346316,243797,141,100443,70731,122,-63,59,0,0.507592,131,111,0,1242,1010,5,189,85,0,-101,25,0,0.120078
317547,221057,130,113252,82380,118,-37,39,0,0.508327,82,89,0,1976,1563,29,-97,44,0,24,81,0,0.125936
235028,119903,153,293343,134154,153,203,129,0,1.50857,147,107,0,1,96,0,-37,41,0,89,96,0,0.127888
219952,165897,117,143759,107710,119,7,78,0,-0.491183,105,79,0,2719,2079,37,74,68,0,16,88,0,0.136674
281604,197601,130,112658,79491,117,-52,45,0,0.509062,28,135,0,1660,1371,22,-103,38,0,-50,62,0,0.142532
156710,122781,126,121049,99517,108,76,48,0,1.50931,88,83,0,706,653,0,-11,60,0,-33,73,0,0.147413
285239,200679,134,104763,72800,119,98,82,0,-0.490448,17,148,0,1422,1086,12,-41,56,0,105,95,0,0.159128
150641,129019,109,138506,119732,108,305,221,0,1.51004,220,223,0,205,227,0,-74,36,0,-118,23,0,0.16108
140464,86366,119,179112,116778,120,97,69,0,-0.489713,15,79,0,984,633,0,74,53,0,87,69,0,0.163033
293121,203251,120,97158,67703,118,-66,58,0,1.51078,-40,51,0,66,68,0,4,47,0,64,63,0,0.187439
455317,217543,179,342262,156920,178,0,78,0,1.51151,160,110,0,3516,2350,43,257,110,0,124,101,0,0.191344
259929,178189,122,168552,125366,116,281,183,0,-0.488244,168,123,0,1857,1427,25,-60,48,0,80,57,0,0.19232
121328,103363,108,142590,122781,106,194,97,0,1.51225,75,94,0,3175,3074,34,9,68,0,-88,40,0,0.196225
