"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
73630.2,50927,94751.9,43315.4,28315,100255,65.52,67.2,70.98,40.92,33.3,109.74,0.212701
43654.1,30691,93216.7,28382.8,16219,114686,46.2,44.1,21,38.13,42.3,86.73,0.224004
61436.2,44841,89790.2,16431.2,13021,82700.1,26.88,15.12,6.3,23.25,18,57.82,0.225032
56212.1,41597,88562.1,16989.8,13229,84167.1,27.72,14.28,-4.62,7.44,34.2,39.53,0.227087
79268.7,56932,91248.4,21216.7,16400,84784.1,14.28,32.76,-52.92,51.15,18,77.29,0.23017
51929.5,42472,80129.3,18916,16209,76480.7,29.4,37.38,26.46,17.67,19.8,57.82,0.233252
53449.9,39821,87966,18769,15102,81449,5.88,32.76,-39.48,1.86,-21.6,27.73,0.237362
39770.5,29526,88274.7,23221.8,13494,112781,53.76,51.24,29.82,-22.32,40.5,48.97,0.239418
36554.7,22122,108293,40977.7,27767,96716.1,26.88,86.52,73.5,41.85,3.6,31.27,0.252776
43227.8,29386,96405.7,20340.6,16314,81711.5,9.24,36.96,7.98,20.46,33.3,4.72,0.254831
42692.3,24562,113911,15892.8,11454,90933.4,42,21.84,24.78,56.73,46.8,46.02,0.254831
101722,67821,98294.7,56070.8,35888,102392,102.48,110.46,82.74,62.31,100.8,134.52,0.254831
55295.1,37573,96447.4,22182.7,16525,87973.8,19.32,9.66,80.22,57.66,68.4,76.11,0.257913
73455.9,45637,105485,31867.9,23311,89592.7,176.4,141.12,149.52,24.18,41.4,4124.1,0.264079
42151.9,30802,89684.7,15029.3,11362,86688.9,52.92,40.74,-24.36,41.85,32.4,73.75,0.265106
63532.7,52027,80029.2,21856,16470,86967.3,27.72,24.36,27.72,64.17,30.6,56.05,0.269216
76608.7,51083,98283.7,17646.7,13462,85908.1,45.36,22.26,-20.16,54.87,25.2,112.1,0.270244
44816.8,31221,94075,18316.2,14909,80513.1,22.68,62.16,26.88,85.56,7.2,66.67,0.271271
83899.2,58543,93921,26913.6,19983,88265.5,44.52,40.74,56.7,-5.58,39.6,93.22,0.272299
47641.3,36358,85874.4,9889.32,7854,82519.3,10.92,21.42,-2.94,0,9,31.27,0.273326
54352.2,42567,83680.4,78931.4,60039,86158.2,71.4,118.44,-9.24,12.09,76.5,51.33,0.274354
96346.6,60744,103947,35819.3,25285,92839.7,84.84,50.82,-20.16,33.48,68.4,120.95,0.274354
107289,66831,105210,24383.5,16939,94338.4,47.04,70.14,31.92,68.82,72,151.04,0.275382
68128.9,52727,84679.5,19525.8,15603,82012.6,32.76,25.62,89.88,13.02,22.5,78.47,0.275382
43740.2,35614,80489.6,22317.1,15175,96380.5,9.24,26.04,77.7,-1.86,19.8,58.41,0.277437
102856,68302,98690.6,34125.8,24595,90931.9,53.76,78.12,5.46,47.43,44.1,100.89,0.277437
54493.6,40463,88260.7,16760.5,14031,78285,15.96,41.58,104.16,32.55,2.7,18.29,0.277437
76141.8,53259,93693.6,16431.2,12443,86541.7,37.8,60.48,-52.92,47.43,28.8,50.15,0.277437
43058.4,36882,76510.9,29308.4,18402,104378,35.28,45.78,17.22,12.09,36,80.24,0.278464
96688.9,60936,103988,38055.4,18097,137813,62.16,86.1,2.52,47.43,59.4,54.87,0.278464
103632,66886,101541,40687.9,29418,90642.6,42,93.66,66.36,37.2,49.5,141.6,0.278464
99126.3,63740,101919,54218.6,36161,98262.6,108.36,70.56,57.12,99.51,63.9,188.8,0.278464
74614.4,54435,89830.6,24481.8,18215,88083.4,48.72,31.5,-7.56,55.8,49.5,65.49,0.279492
106449,79512,87738.2,37298.5,28325,86298.2,48.72,36.12,-18.48,46.5,59.4,70.21,0.279492
71060.5,48099,96821.6,25966.9,19031,89420.9,29.4,39.48,18.9,63.24,18.9,59.59,0.279492
59363.5,42066,92484.3,26348.3,18134,95222.3,73.92,30.66,-46.62,39.99,55.8,67.85,0.280519
72641.8,53831,88437,30655,19159,104860,111.72,70.14,-27.3,38.13,67.5,60.77,0.281547
39140.5,28997,88461.3,20889.1,15597,87772.6,35.28,44.1,89.04,54.87,39.6,43.66,0.282574
51073.4,37803,88541.8,18312.8,14662,81854.5,22.68,15.54,-43.68,36.27,-4.5,48.38,0.282574
56889.7,37593,99176,21640.9,16596,85457.9,1.68,52.92,44.52,39.99,23.4,103.84,0.282574
62431.6,42751,95705.8,20727,16226,83715.3,62.16,39.48,-14.7,46.5,44.1,119.77,0.283602
85811.6,58938,95418.1,33170.8,25098,86615.6,79.8,66.36,47.88,66.96,63.9,103.25,0.284629
49938,34327,95340,41698.4,33203,82304.3,83.16,68.88,-21.84,18.6,60.3,82.01,0.285657
45290,30322,97886.9,14466.5,8138,116500,57.96,31.5,102.06,51.15,66.6,50.74,0.285657
80496.5,57931,91063.8,20924.4,15563,88112.9,151.2,38.22,3.36,30.69,55.8,82.6,0.286685
46977.7,29705,103644,25435.2,17716,94091.3,52.92,68.88,55.02,38.13,21.6,107.97,0.28874
50929.2,32686,102114,81210.4,58398,91136.7,157.92,170.94,110.46,-0.93,44.1,107.97,0.289767
72983.4,48137,99363.1,39233.9,26980,95301.4,110.88,70.14,13.86,26.04,65.7,190.57,0.289767
51188.2,31004,108201,46534.3,31128,97972,75.6,115.5,41.58,54.87,72.9,130.39,0.291822
60747.4,39664,100372,29645.3,21168,91781.6,11.76,88.2,48.72,68.82,51.3,82.6,0.29285
44431.1,37861,76908.6,24876.6,17853,91318.7,63.84,71.4,-2.94,25.11,25.2,50.74,0.295932
93048.2,61176,99679.7,26977.4,19605,90180.7,52.08,40.74,-22.68,86.49,45.9,116.23,0.295932
65362.5,44242,96822,34470.2,20570,109822,90.72,79.38,-15.12,79.98,72.9,121.54,0.29696
108800,67270,105995,20685.8,14990,90438.1,30.24,30.66,-5.46,49.29,39.6,175.82,0.299015
76692.7,56178,89468,17545.1,13438,85565.9,75.6,63.42,6.3,11.16,27.9,71.98,0.300043
49895.3,35600,91852.2,16798.3,13556,81210.9,6.72,31.5,9.24,18.6,44.1,71.39,0.300043
61246.5,45380,88449.8,30571.8,23848,84013.5,26.04,34.44,15.54,27.9,43.2,81.42,0.304153
72315.6,58689,80752.4,31333.7,25001,82136.1,1282.68,52.5,-17.64,15.81,37.8,72.57,0.30518
72601.2,56413,84342.1,19971,15216,86016,44.52,50.82,21,27.9,52.2,44.25,0.30518
57580.6,42849,88067.5,19127.6,15465,81057.2,47.88,24.78,21,10.23,-6.3,41.3,0.30929
76869.1,56372,89365.2,25358.8,19032,87322,36.12,73.5,-43.68,47.43,39.6,49.56,0.310318
71204.7,57869,80638.5,13999.4,11600,79092,52.08,31.08,31.92,5.58,13.5,94.99,0.311346
53551.4,35914,97720.8,23155.4,16819,90226.2,89.04,22.26,51.24,49.29,36,125.08,0.312373
92549.8,54943,110393,60215.4,37199,106086,105.84,110.46,85.68,73.47,81,178.77,0.313401
55129.9,32239,112069,30531.5,23154,86417.5,13.44,67.2,-8.82,42.78,30.6,57.82,0.313401
42814.1,27991,100242,44456.2,28039,103908,55.44,90.72,-24.78,29.76,34.2,82.6,0.315456
66540.6,42261,103187,13543.3,9737,91154.9,63,34.02,10.5,29.76,40.5,63.13,0.316483
67711.7,42843,103577,28361.8,22214,83673.2,79.8,80.22,26.46,32.55,72.9,478.49,0.316483
93975.7,62646,98311,49793.5,31134,104814,162.96,94.5,-7.98,36.27,74.7,146.32,0.316483
81566.8,55907,95615.2,26783.4,20303,86454.1,29.4,47.88,12.18,74.4,32.4,90.86,0.319566
102657,64991,103518,22979,17083,88155.1,32.76,42.42,49.98,83.7,11.7,29.5,0.319566
78468.6,53474,96168.6,46756.9,33122,92514.4,84,128.52,2.94,85.56,52.2,137.47,0.321621
100304,68778,95576.3,29395,22494,85641.9,73.08,77.28,47.04,60.45,62.1,165.79,0.327786
60968.6,46520,85890.8,14476.6,11676,81255.2,31.08,22.26,-13.86,-17.67,25.2,16.52,0.330869
45706.5,36418,82251.1,15783.6,13634,75868.7,-0.84,23.1,124.32,-22.32,18,0,0.330869
84688.8,59694,92976.9,30452.5,22826,87432.6,85.68,56.28,-73.08,25.11,45.9,57.23,0.332924
92500.1,55126,109968,25830.8,17910,94519.8,68.04,22.68,62.16,78.12,73.8,35.99,0.336007
72054.5,46915,100654,29805.7,22659,86206.3,46.2,107.1,20.58,75.33,30.6,102.66,0.337034
62767.6,38510,106817,31116.1,22695,89853.5,86.52,54.18,41.16,23.25,60.3,86.73,0.337034
80709.3,49323,107239,23958.5,17003,92345,50.4,50.4,-6.3,80.91,86.4,76.11,0.338062
86552.2,59539,95270.1,22186.9,17947,81018.7,14.28,31.5,35.7,51.15,32.4,54.28,0.341144
41873.3,34200,80240,28718.8,23841,78944.4,107.52,94.5,30.24,1.86,36,61.36,0.344227
76227.2,53225,93858.6,23754.4,18452,84368.4,52.08,44.52,33.18,54.87,36,77.29,0.34731
65372.3,48321,88662.1,12663,10098,82182.8,23.52,39.9,30.66,50.22,15.3,43.07,0.348337
130776,82878,103412,53092.2,30250,115023,128.52,102.06,147,85.56,75.6,162.84,0.350392
84338.1,59847,92355.2,25818.2,19883,85099,91.56,27.72,29.4,26.04,55.8,90.86,0.352447
58972.2,33905,113989,22757.3,11069,134739,93.24,83.58,36.12,28.83,94.5,122.13,0.353475
80007.2,60369,86855,20202,15810,83741.8,106.68,78.54,11.76,55.8,75.6,231.28,0.353475
69276.2,41906,108340,49220.6,31298,103065,168.84,106.68,68.46,45.57,127.8,263.73,0.35553
59486.7,44116,88369.8,19507.3,16200,78915.5,51.24,52.5,5.88,28.83,-7.2,40.12,0.35553
62477.1,47663,85905.2,16430.4,13634,78977.8,36.12,36.96,65.52,39.99,72.9,42.48,0.356557
41972.7,29053,94679.5,43013.9,28221,99888.7,74.76,81.48,75.18,13.95,45,51.33,0.360668
84150.5,56388,97802.5,16128.8,12348,85602.5,21.84,18.9,70.14,52.08,22.5,70.21,0.360668
65881.2,43723,98748.7,44563.7,26271,111169,26.88,78.96,-5.88,65.1,34.2,139.83,0.360668
36788.5,28304,85181.3,27472.2,22684,79369.5,45.36,43.26,61.74,11.16,38.7,56.64,0.361695
47255.6,31392,98653.9,34332.5,25384,88639,113.4,63.42,-21.84,24.18,81.9,130.98,0.36375
76960.1,58895,85638.1,18144,14811,80283.9,27.72,34.86,-7.56,35.34,48.6,43.66,0.36375
76626.9,59648,84190.9,19367.9,15164,83704.4,31.92,21.84,10.92,43.71,23.4,65.49,0.364778
74530.4,49867,97949,18407.8,14959,80645.2,42.84,31.5,53.34,55.8,36,57.23,0.364778
64821.4,42676,99543.9,23231,17000,89557,33.6,60.9,20.16,63.24,45,68.44,0.365805
41316.8,26578,101879,24486.8,19126,83905.1,37.8,49.14,24.36,64.17,45.9,71.39,0.365805
79354.1,52495,99067.5,49023.2,31183,103030,47.88,77.7,21,38.13,54.9,96.17,0.366833
107519,72137,97679.9,40173,30564,86139.8,113.4,94.5,36.12,74.4,51.3,140.42,0.36786
57596.7,33469,112781,20086.9,13984,94137.3,59.64,23.52,-10.5,14.88,30.6,80.24,0.36786
38945.2,23750,107466,32014.9,20026,104770,49.56,84,65.94,-8.37,38.7,96.76,0.36786
84138.6,62570,88127,22992.5,18398,81902.1,79.8,35.7,61.32,22.32,25.2,86.73,0.368888
80722.6,59624,88726.6,17878.6,14325,81793.3,70.56,39.06,21,16.74,60.3,38.94,0.369916
93340.8,68646,89112,31931.8,20758,100813,31.08,83.16,47.46,85.56,26.1,128.62,0.372998
45417.4,34874,85349.4,16243.9,13043,81619.4,45.36,48.72,30.24,39.06,25.2,23.01,0.374026
66365.6,46154,94235.3,47318.9,38926,79666.3,56.28,91.14,31.08,25.11,56.7,104.43,0.374026
74832.8,51417,95381.7,34545,23796,95139.6,46.2,53.76,-29.82,25.11,54,40.71,0.375053
95285.4,62168,100448,31080.8,24421,83408.3,12.6,91.98,50.4,90.21,18,295,0.378136
102118,73278,91329.1,30343.3,23667,84023.3,67.2,46.62,104.58,36.27,72.9,84.96,0.379163
73403.4,50623,95027.3,20159.2,15487,85307.1,24.36,48.72,-17.22,33.48,12.6,80.83,0.383274
90374.9,59750,99126.5,27811.6,20134,90526.4,22.68,63.84,51.66,60.45,36,134.52,0.383274
69545.7,43370,105090,26829.6,18686,94097.4,67.2,84,86.94,68.82,78.3,73.16,0.386356
72836.4,50762,94035,23848.4,18462,84656.7,86.52,55.86,-27.72,38.13,38.7,61.36,0.386356
99213.8,69260,93879.2,33625.2,24433,90192,70.56,42.84,-39.06,15.81,27,116.82,0.388411
122492,74672,107506,35175.8,25264,91247.8,89.04,67.62,55.02,54.87,48.6,155.17,0.389439
49376.6,36196,89400.6,17151.1,13760,81687.2,58.8,17.22,-71.4,39.06,42.3,32.45,0.390466
77629.3,46961,108335,33736.1,23529,93966.1,73.08,73.08,73.08,70.68,62.1,96.76,0.390466
60456.2,44914,88214.3,58729.4,47650,80774.2,58.8,98.7,82.32,69.75,65.7,153.4,0.391494
65500.4,45331,94695.3,23414.2,17847,85979.2,-12.6,31.08,34.44,80.91,22.5,66.08,0.392522
78067.5,48060,106455,59031,38417,100702,152.04,126.42,75.6,53.01,53.1,156.35,0.392522
73077.2,51952,92184.9,19476.2,14748,86547,-29.4,24.78,-26.04,40.92,20.7,56.64,0.392522
95593.4,69470,90180.1,28415.5,20842,89350.3,156.24,87.78,101.64,45.57,134.1,256.06,0.394577
77974.4,50675,100841,28520.5,21559,86697.9,30.24,35.7,93.24,56.73,17.1,69.03,0.395604
100311,68589,95845.7,27823.3,21168,86140.8,56.28,41.58,26.46,53.01,54.9,80.83,0.395604
50640.8,31409,105664,21890.4,16493,86982.9,95.76,52.92,40.74,59.52,96.3,226.56,0.396632
98871.5,63751,101640,31290,23051,88960.2,17.64,31.5,11.34,86.49,9.9,135.7,0.398687
55724.2,37968,96184.7,20797.6,14972,91035.9,49.56,43.68,12.6,46.5,33.3,79.65,0.400742
84255.5,62780,87954.3,38461.9,29169,86415,105,90.3,61.74,76.26,40.5,474.95,0.402797
57118.6,36949,101311,30797.8,15369,131327,73.08,78.12,123.9,53.01,44.1,123.9,0.403824
57331.4,41709,90083,19321.7,12736,99424.1,31.92,52.5,-42,37.2,15.3,39.53,0.403824
93473.1,56314,108780,26287,18435,93449.5,47.04,34.02,126.42,82.77,46.8,80.24,0.404852
80140.9,56288,93307.9,23469.6,18284,84122.9,86.52,43.68,-31.5,10.23,33.3,75.52,0.407935
63786.1,46176,90529.4,23012.6,18044,83582.2,18.48,41.58,57.54,52.08,9.9,135.7,0.407935
82647.6,52891,102407,28050.1,21179,86797.9,26.04,61.32,54.6,85.56,6.3,76.11,0.408962
87152.8,57866,98704.7,32745.7,23879,89870.8,71.4,64.68,23.94,48.36,19.8,59.59,0.408962
78700.3,53322,96727.5,26266.8,18906,91051.6,57.96,35.28,4.2,21.39,69.3,60.18,0.412045
86934.4,66227,86027.3,22218,17887,81404.3,42.84,26.46,14.28,32.55,64.8,0.59,0.412045
89986.4,59671,98831.1,38832.4,26431,96285.3,52.08,81.9,-30.66,80.91,58.5,118.59,0.417183
93710.4,62926,97597.2,37317,28323,86347,29.4,44.52,30.66,39.99,45.9,87.91,0.421293
45042.2,34642,85211.2,18760.6,12866,95561.3,57.96,22.26,-61.74,42.78,31.5,51.33,0.421293
38157,26873,93054.6,22667.4,15988,92915.4,40.32,62.16,11.34,27.9,32.4,107.97,0.42232
59536.4,43298,90114.5,22173.5,17890,81227.6,26.88,42,-10.92,23.25,28.8,51.33,0.423348
94735.9,65817,94331.4,22499.4,17497,84272.8,53.76,30.66,10.08,101.37,50.4,92.63,0.424375
78635.2,45451,113384,53649.1,35131,100081,95.76,85.68,-13.02,88.35,73.8,146.32,0.424375
51676.8,39911,84856.1,12920,10543,80311.8,12.6,4.62,-63.42,13.02,9,20.65,0.425403
72545.9,45319,104909,20128.9,14799,89139.1,65.52,48.3,79.8,71.61,67.5,81.42,0.42643
81218.2,48874,108907,26646.5,18259,95640.7,54.6,69.72,46.2,75.33,57.6,93.22,0.42643
84959,60146,92572.6,29485.7,20038,96435.4,41.16,20.16,65.1,35.34,33.3,48.38,0.427458
82498.5,56690,95371.7,37920.1,30034,82744,140.28,64.68,28.98,12.09,83.7,83.19,0.437733
90479.9,54003,109803,30727.2,15915,126531,25.2,75.18,10.08,75.33,18.9,99.71,0.439788
60444.3,36799,107646,27242.9,20635,86522.4,58.8,62.16,20.16,71.61,75.6,83.78,0.443899
59226.3,41526,93470.5,20481.7,16506,81321.3,88.2,71.4,64.26,61.38,70.2,93.81,0.443899
114178,75275,99406.1,63094.9,50534,81825.9,68.04,114.66,15.12,95.79,50.4,142.78,0.444926
40917.8,30984,86547.5,15064.6,12184,81030.1,-10.08,44.94,18.9,12.09,-5.4,70.21,0.445954
96853.4,57578,110240,49007.3,28702,111900,167.16,107.94,135.66,60.45,136.8,224.2,0.448009
44671.9,30491,96015.8,15637.4,12374,82820,49.56,31.92,3.36,33.48,65.7,68.44,0.448009
94597.3,56052,110603,17734.9,12920,89959.4,106.68,28.14,-4.62,89.28,107.1,72.57,0.448009
88014.5,58051,99362.9,32941.4,23795,90727,10.08,69.3,39.06,63.24,25.2,105.02,0.451091
80374.7,57783,91158.9,38016.7,24143,103196,19.32,64.26,-4.62,29.76,57.6,78.47,0.451091
93591.4,56827,107935,38745,27787,91380.6,34.44,99.96,63.42,98.58,87.3,68.44,0.452119
78701.7,51814,99544.4,31011.1,21818,93149.9,55.44,49.56,32.34,27.9,32.4,122.72,0.453147
70711.9,55122,84071.2,23252.9,18590,81974.2,44.52,47.46,-26.88,48.36,4.5,92.04,0.454174
82248.6,51516,104632,39735.4,29605,87961.4,36.96,44.94,10.08,50.22,37.8,106.2,0.455202
95979.8,72807,86394.6,23537.6,17619,87551.1,26.88,90.3,2.52,45.57,21.6,133.34,0.455202
