"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
78197,63669,80490,21869.4,17649,81207.6,73.08,70.98,18.06,40.92,70.2,88.5,0.224207
69679.4,52560,86881.8,33742,26576,83207.1,78.12,79.8,8.82,13.95,156.6,395.3,0.225235
49595.7,29387,110603,53617.2,29295,119947,105,95.34,18.48,5.58,107.1,197.65,0.225235
82313.7,55173,97774.5,32316.5,23053,91870.6,54.6,42.42,9.24,44.64,9,110.92,0.227292
71035.3,45359,102634,24831.2,13599,119666,107.52,34.44,41.58,80.91,86.4,130.39,0.229349
88226.6,59105,97826.2,21271.3,15913,87603.7,109.2,62.16,-8.82,68.82,50.4,67.85,0.229349
67129.3,44950,97872.9,26234.9,18922,90864,-5.04,65.1,-11.34,23.25,-3.6,76.7,0.231406
75217.1,52834,93300.3,26903.5,20110,87675.2,48.72,74.34,83.16,29.76,41.4,92.04,0.234491
68604.9,44371,101329,25310.9,18259,90846.9,57.96,68.88,91.14,94.86,61.2,120.36,0.234491
84491.4,56062,98769.7,24079.4,18110,87138.1,42,65.1,-42.84,83.7,75.6,113.28,0.23552
51979.2,27921,122005,41019.7,23853,112701,68.04,73.5,126.42,13.95,29.7,97.35,0.237577
105317,64383,107203,83587.6,47007,116536,220.08,138.6,2.52,77.19,98.1,190.57,0.238605
49476.7,33343,97246.9,14008.7,10706,85753.1,57.96,28.56,44.52,-1.86,18,19.47,0.239634
62435.8,40395,101295,31819.2,22959,90827.3,35.28,40.74,-1.68,21.39,38.7,87.32,0.239634
44141.3,34393,84111.4,24066,15748,100152,42,75.18,21,-2.79,37.8,64.31,0.240662
59674.3,42223,92622.9,17419.9,13823,82589.3,41.16,50.4,21.42,16.74,26.1,51.92,0.240662
123192,74735,108028,51963.2,35675,95458,145.32,93.24,37.8,59.52,119.7,425.98,0.241691
71493.8,47317,99021.9,38451,23977,105098,115.92,63.84,-22.68,40.92,69.3,133.93,0.241691
72020.9,53914,87546.1,24712.8,19962,81133,62.16,43.68,-78.12,48.36,49.5,129.21,0.242719
68277.3,54069,82757.6,19231.8,14857,84833.8,23.52,22.68,45.78,42.78,70.2,105.02,0.242719
87744.3,61442,93590.9,32717.2,21030,101957,75.6,63.42,109.2,50.22,68.4,128.62,0.244776
57854.3,43613,86936,11787.7,9920,77875,21,51.66,-8.82,51.15,24.3,70.21,0.246833
78748.6,44744,115342,46899.7,24693,124473,133.56,99.96,62.16,109.74,105.3,191.16,0.247862
99806.7,66283,98681.9,35042.3,26623,86261.2,74.76,49.56,76.02,26.04,49.5,93.22,0.249918
76037.5,46000,108330,25865.3,16972,99876.7,86.52,49.14,48.72,53.94,83.7,66.67,0.250947
70172.2,49846,92260.3,19903.8,15270,85423.4,26.88,57.96,82.32,41.85,59.4,43.07,0.250947
44781.1,33780,86879,29674.7,21668,89752.6,89.04,49.56,106.68,24.18,52.2,125.08,0.254032
93189.6,59322,102951,36316.6,26195,90858.6,73.08,67.2,-42.84,61.38,67.5,80.24,0.255061
51837.1,42439,80048.9,12537,10911,75302.4,-20.16,46.2,12.6,14.88,-1.8,51.33,0.259175
56450.1,38380,96391.7,21121.8,17592,78685.7,73.92,44.1,63,21.39,26.1,54.28,0.260203
59471.3,50413,77311.6,15958.3,13373,78205.7,21,62.16,-9.24,45.57,48.6,113.28,0.26226
50258.6,42347,77779.9,11839.8,10607,73152.9,-10.08,6.72,-21.84,4.65,29.7,11.8,0.26226
