"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
70008.4,49278,93105.9,21743.4,16323,87298.6,51.24,36.12,-11.34,23.25,31.5,-128.62,0.284048
93164.4,65048,93863.3,25821.6,20053,84388.6,52.92,56.7,98.28,41.85,43.2,-67.26,0.284048
79599.8,60882,85684.6,15020.9,12162,80941.3,38.64,26.46,-2.52,27.9,26.1,-76.11,0.285104
88738.3,60319,96413.3,22494.4,17515,84167.3,26.04,30.66,97.44,15.81,-6.3,-50.74,0.28616
88519.9,58250,99592.1,26795.2,19882,88323.5,-13.44,46.62,0.84,37.2,99,-53.1,0.28616
72606.1,54064,88012.6,24880.8,20696,78787.6,5.88,51.66,45.78,23.25,-0.9,-113.28,0.28616
90024.9,63267,93253.5,27599,20283,89174.7,50.4,43.68,26.04,22.32,14.4,-73.75,0.288272
105377,65889,104812,24408.7,18169,88042.8,38.64,41.58,0.42,49.29,37.8,-36.58,0.290383
69657,48424,94272.3,19351.1,15633,81122.8,23.52,38.22,95.76,49.29,54.9,-51.33,0.290383
79671.9,56439,92513.7,26276.9,19303,89213.2,33.6,38.64,45.36,47.43,40.5,-72.57,0.290383
82863.9,60462,89817.9,16521.1,13294,81444.9,87.36,74.34,28.98,50.22,61.2,-10.62,0.293551
66201.1,50274,86298.2,15053.6,11766,83848,51.24,2.94,2.94,56.73,44.1,-14.16,0.294607
68601.4,44130,101878,24673.3,18226,88718.9,78.12,51.66,47.88,90.21,38.7,-27.14,0.295663
66394.3,46881,92814.1,23504.9,18605,82795.8,85.68,42.42,-57.12,67.89,41.4,-17.11,0.295663
87758.3,66719,86202.2,25497.4,19915,83906.4,31.08,13.86,47.04,79.98,-5.4,19.47,0.296719
41298.6,27137,99736.3,47205.5,29853,103630,239.4,80.64,97.02,67.89,167.4,123.31,0.297775
46134.9,35632,84853.4,29990.5,22348,87947.9,45.36,103.74,29.4,59.52,21.6,-11.21,0.297775
85645,62290,90108.1,22374.2,17766,82535.1,57.12,39.06,-27.72,62.31,62.1,-11.21,0.298831
82373.2,59318,91008,16199.4,13038,81426.9,52.92,26.88,-9.66,53.94,10.8,-43.07,0.298831
76243.3,51413,97187.1,18749.6,14133,86943.8,21.84,13.44,-4.62,59.52,58.5,-15.93,0.299887
97417.6,62037,102912,49356.7,29017,111474,59.64,95.76,13.86,131.13,20.7,67.85,0.301999
72790.2,49561,96252.7,36725.6,26468,90934.4,56.28,70.56,39.06,93.93,27.9,53.69,0.304111
86862.3,52543,108342,29018.6,20546,92561.4,34.44,53.76,-32.34,126.48,34.2,53.69,0.304111
90776,65995,90144.6,26861.5,22070,79764.2,52.92,49.56,5.88,112.53,34.2,37.76,0.304111
95442.9,60333,103674,71917.4,51520,91482.6,70.56,166.32,-13.44,154.38,68.4,102.66,0.304111
54894,38486,93476.4,22417.9,17398,84445.4,31.92,32.34,-5.04,116.25,28.8,74.34,0.305167
60774,43821,90889.9,19561.9,15577,82301.5,14.28,56.28,15.54,116.25,0.9,41.3,0.307278
82426.4,63096,85613.9,26812,20373,86248.9,27.72,49.14,-5.88,135.78,20.7,109.74,0.318894
55354.6,35454,102322,52521,22227,154857,77.28,89.88,126.84,121.83,65.7,132.75,0.31995
66261.3,46049,94301.7,38404.8,26465,95102.8,42,72.24,44.94,161.82,72.9,112.69,0.321006
53422.6,37885,92414,18279.2,14333,83579.7,63,36.96,-12.6,133.92,65.7,50.74,0.323118
36568.7,26347,90961.6,17293.9,13158,86135.8,10.08,52.5,-1.68,106.95,16.2,90.27,0.323118
60353.3,33990,116367,62816.9,28430,144804,99.12,105,7.98,172.98,65.7,151.63,0.324173
86230.2,63795,88583.5,29326.9,22407,85775.4,32.76,70.56,-1.68,119.04,47.7,145.14,0.324173
60816.7,42032,94825,31644.5,27364,75787.6,8.4,59.22,39.48,96.72,15.3,47.2,0.325229
45824.8,32991,91030.1,29337.8,21307,90237.2,36.96,79.8,44.1,150.66,16.2,82.01,0.325229
72907.8,52025,91842.1,27719.2,20676,87860.4,37.8,34.02,-10.92,141.36,22.5,72.57,0.326285
72031.4,51371,91893.3,27289.9,20443,87485.8,72.24,76.86,35.28,158.1,46.8,120.36,0.326285
85146.6,48700,114582,35503.4,19441,119683,45.36,99.12,18.06,151.59,32.4,112.69,0.327341
94831.1,60853,102129,33338.8,15469,141243,62.16,88.2,42.42,186.93,46.8,115.64,0.328397
54107.2,35985,98540.2,17377.9,12925,88114.5,10.92,18.06,52.5,120.9,18.9,48.97,0.329453
114834,69007,109058,47446.6,30882,100688,59.64,99.96,-5.46,177.63,68.4,194.7,0.332621
48404.3,37134,85426.4,27426.8,19715,91171.5,40.32,63,-9.66,146.01,71.1,125.08,0.332621
71922.9,56593,83288.4,33367.3,27935,78280.3,4.2,45.78,0.84,93,15.3,35.99,0.334733
69160,55111,82242.6,18381.7,15443,78007.1,1.68,23.52,-18.06,106.95,4.5,77.29,0.334733
98524.3,60884,106052,24582.6,17144,93971.4,42.84,34.44,70.56,167.4,27,85.55,0.334733
76720.7,55138,91188.8,18449.8,13654,88554.5,10.92,23.94,6.3,97.65,17.1,68.44,0.335789
59843.7,42725,91794.4,24622.9,19821,81413,26.04,43.26,26.88,126.48,33.3,107.97,0.335789
74378.5,55119,88435.4,16742,13259,82751.8,-21.84,23.52,0,123.69,20.7,61.36,0.335789
106168,66287,104965,75847,45874,108356,147.84,113.82,84.84,171.12,78.3,220.66,0.338957
70702.8,41102,112734,37212,25342,96232.6,144.48,63.42,84.84,140.43,104.4,149.86,0.338957
60719.4,38320,103844,28526.4,20312,92039.5,42.84,20.58,17.64,99.51,54.9,66.08,0.340013
47833.1,33772,92822.2,39349.8,27649,93270.2,51.24,47.46,-37.38,79.05,24.3,76.11,0.341069
48255.2,38824,81456.1,29119.4,23304,81890.3,21,65.94,-18.48,48.36,24.3,54.28,0.341069
140013,86043,106643,39847.1,25366,102950,67.2,105.84,-34.86,189.72,91.8,93.81,0.342124
99823.5,64012,102200,28044.2,19937,92185.8,93.24,58.8,63.84,164.61,84.6,125.08,0.34318
62040.3,45277,89800,45941.3,27136,110953,78.96,63.84,54.6,108.81,59.4,109.15,0.346348
45098.9,41514,71195.3,16353.1,13875,77240.9,21,53.76,10.5,80.91,34.2,58.41,0.349516
60126.5,36400,108254,32457.6,24572,86567.7,93.24,72.24,-37.8,85.56,27.9,132.75,0.350572
81925.2,57807,92878.9,21238.6,16347,85146.5,49.56,73.5,-4.62,128.34,68.4,88.5,0.351628
49534.1,34017,95430.7,22333.9,17497,83653,58.8,51.66,51.66,103.23,71.1,92.63,0.352684
70793.1,48010,96636,31065.7,22570,90204.8,87.36,63.84,29.82,153.45,95.4,123.9,0.35374
45900.4,29145,103213,31786.4,20996,99216.8,64.68,46.2,77.28,89.28,71.1,138.65,0.355852
61688.9,43599,92727.9,20101.2,15666,84089.9,24.36,27.72,5.46,122.76,27,86.14,0.359019
54784.1,40900,87783.1,19496.4,15912,80298.9,-5.04,39.9,-31.5,59.52,42.3,32.45,0.360075
78027.6,55566,92027.8,21097.4,16867,81973.2,36.12,2.94,76.44,127.41,52.2,58.41,0.361131
105071,71035,96936.9,32974.2,24646,87681.5,49.56,53.76,4.2,92.07,31.5,97.94,0.361131
82380.9,56446,95647.4,34242.6,26794,83754.7,74.76,58.8,70.14,87.42,61.2,83.78,0.362187
62412.7,37075,110324,34048.6,22839,97701.6,70.56,65.52,44.1,98.58,63,53.1,0.362187
42792.4,31481,89083.7,13934.8,12020,75975.7,40.32,21.84,65.52,53.01,-23.4,67.26,0.364299
47245.8,31085,99607.5,21980.3,15568,92529.5,89.88,53.76,113.82,58.59,55.8,51.33,0.364299
99489.6,67852,96093.7,24404.5,18085,88436.5,108.36,37.38,3.36,101.37,108,69.62,0.365355
57359.4,43725,85971.5,21346.9,18176,76969.2,71.4,13.02,29.4,80.91,57.6,87.32,0.365355
92112.3,63895,94478,35308.6,26087,88702.5,84,49.98,8.82,128.34,72.9,112.69,0.365355
93853.2,62500,98412.2,37856.3,24956,99412.9,82.32,60.06,96.6,106.95,71.1,112.1,0.366411
90111,54718,107926,24731.3,17502,92605.9,70.56,47.88,-16.8,106.95,39.6,67.85,0.367467
81846.1,53267,100698,22320.5,15531,94185.5,62.16,73.08,45.78,143.22,88.2,72.57,0.367467
47156.2,38447,80381.5,49145,41407,77783.2,40.32,110.88,28.14,64.17,281.7,74.34,0.368523
71530.9,49666,94387.5,18876.5,14446,85635.4,47.04,59.22,83.58,74.4,37.8,70.21,0.369579
