"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
64448.3,45567,92691.7,22604.4,17810,83178.1,2672.04,285.6,348.18,56.73,264.6,10043,0.206558
40037.2,24106,108848,29596.6,15315,126650,1337.28,247.38,276.78,22.32,151.2,6698.86,0.216991
54691.7,28209,127061,30845.6,17629,114669,1630.44,500.22,487.2,119.97,175.5,13840.2,0.22012
82078.5,48027,112002,28498.7,19334,96601.3,1769.04,513.24,695.94,64.17,219.6,17045.1,0.22012
56142.1,40516,90811.7,17066.3,13284,84195.7,467.88,154.14,195.3,13.95,90.9,4302.28,0.221164
54478.2,34503,103477,29112.7,19479,97948.1,1559.88,416.64,537.6,101.37,297,14586,0.221164
78802.5,53699,96173.1,28119,20511,89844.8,1310.4,313.32,293.16,50.22,144,8950.89,0.222207
53512.9,44229,79292.4,44600.6,35925,81362.5,1204.56,139.86,106.26,8.37,73.8,982.35,0.222207
96653.9,56473,112165,46518.4,27620,110378,3801,822.36,985.32,76.26,153,24467.3,0.224293
73096.1,49472,96831.1,21104.2,15008,92156.3,2039.52,345.66,377.16,84.63,325.8,12487.3,0.224293
69102.6,36266,124875,35409.4,20617,112557,2074.8,547.26,490.14,118.11,152.1,20936.7,0.22638
36509.9,19853,120521,34670.2,22013,103218,1763.16,420,456.54,55.8,231.3,16544.8,0.227423
89568.5,52147,112566,33381.6,15891,137669,714,308.7,336.42,56.73,207,9591.04,0.228466
75602.1,48108,102990,19872.7,14225,91555.6,1480.08,322.14,426.72,65.1,94.5,11870.8,0.229509
73675,45962,105051,21911.4,15731,91283.8,897.12,271.74,465.78,104.16,145.8,9191.61,0.229509
50942.5,30823,108314,24271,17643,90156,1002.96,334.74,405.72,71.61,177.3,8659.43,0.229509
62562.5,40881,100293,21021.8,15353,89734.1,1009.68,307.86,319.62,77.19,151.2,8326.67,0.229509
39162.2,25611,100212,24575.9,15350,104925,1321.32,263.34,452.34,2.79,173.7,10602.3,0.229509
36747.9,20978,114802,41318.8,25550,105983,2682.96,1145.34,1292.34,80.91,280.8,35188.2,0.231596
51654.4,33991,99591.7,33803.3,22767,97304.5,1502.76,300.72,250.74,68.82,183.6,7587.4,0.231596
79396.1,42874,121363,63214.2,24067,172136,1623.72,534.24,494.34,69.75,261.9,14998.4,0.233682
85379,48430,115536,26512.1,17443,99609.9,2154.6,701.82,855.96,73.47,243,25069.1,0.234725
68824,44427,101525,26044.2,18822,90682.9,2022.72,456.96,448.98,89.28,170.1,15025.5,0.235769
72637.6,49644,95890.3,29175.7,18984,100720,1701.84,328.44,381.78,111.6,213.3,12226,0.235769
80508.4,56883,92755.3,30390.4,23587,84439,2768.64,666.12,706.02,42.78,89.1,22255.4,0.244114
61376.7,42091,95564,22066.8,16214,89192.7,1213.8,286.86,320.88,62.31,178.2,8380.95,0.248287
62222.3,43944,92795.4,16836.1,12533,88037.3,408.24,164.22,198.66,67.89,73.8,5157.19,0.248287
54767.3,30541,117522,42074.8,21232,129871,2388.96,506.1,512.82,91.14,256.5,15285.1,0.253503
79082.5,53935,96092.5,26898.5,20226,87156.1,1417.92,712.74,760.2,49.29,221.4,23998.2,0.25559
64587.6,37682,112330,30973.3,20718,97976,949.2,288.96,364.98,54.87,133.2,9382.18,0.25559
38013.5,27155,91742,33439.6,19503,112367,2248.68,533.4,500.64,71.61,233.1,16878.7,0.256633
80483.2,44506,118513,41288.5,26915,100534,1279.32,488.88,467.04,98.58,258.3,13893.3,0.256633
60576.6,35001,113424,64953.8,23337,182406,3795.12,1071,1120.14,152.52,423,30026.3,0.256633
49330.4,36168,89386.1,13878.5,11244,80891.1,1082.76,288.54,236.04,41.85,135.9,8142,0.257676
77222.6,45998,110023,21515.8,13203,106798,1773.24,570.78,720.72,48.36,126,22088.4,0.259763
104822,62569,109793,56301.8,39604,93167.3,1078.56,479.64,634.2,54.87,196.2,14991.3,0.260806
92341.2,50551,119714,57091.4,29931,125006,3568.32,1028.16,1164.24,79.98,316.8,34748.6,0.261849
50461.6,34691,95328.8,19495.6,14691,86969,2270.52,185.64,244.02,40.92,156.6,6028.03,0.267065
39830,22178,117698,27862,19130,95450.1,1016.4,315,285.6,50.22,244.8,11137.4,0.269152
67910.5,41423,107442,33568.1,21615,101777,3788.4,554.82,672,64.17,162,20566.2,0.269152
111550,70004,104430,67347,35516,124272,2144.52,798.84,786.66,150.66,473.4,21739.1,0.270195
47443.9,30846,100800,44688,29523,99199.7,2210.88,660.66,673.26,82.77,212.4,22116.1,0.270195
64070.3,36956,113619,34671,21349,106431,1391.04,422.1,417.9,101.37,325.8,12139.2,0.270195
49963.9,37856,86497.1,17847.5,13908,84099.2,283.92,154.56,132.72,71.61,99,4575.45,0.274368
48696.2,37038,86164.3,14299.3,11907,78703.3,672.84,212.52,225.12,2.79,38.7,6471.71,0.275411
61995.5,36816,110358,29557.1,18964,102144,2825.76,560.28,578.34,55.8,210.6,18159.6,0.277498
51795.1,41723,81356.7,21557.8,17078,82726.9,2231.04,201.18,199.08,41.85,130.5,7207.44,0.278541
39669.7,26260,99002,23805.6,17280,90284.9,467.04,201.6,192.36,68.82,112.5,5997.94,0.280627
64987.3,46335,91917.7,29027.9,21339,89150,2010.96,482.16,543.48,29.76,138.6,15625,0.281671
58463.3,41249,92885.9,13440.8,10065,87517,960.12,225.12,266.7,12.09,147.6,8483.02,0.286887
64620.5,39151,108170,43191.1,25778,109806,5088.72,830.34,1014.3,97.65,323.1,29308.8,0.28793
100278,66607,98666.1,52719.2,40226,85889.9,834.96,763.98,871.5,73.47,159.3,23854.9,0.28793
102642,61026,110228,63526.7,31394,132614,2797.2,915.18,1029.42,180.42,327.6,25162.9,0.28793
94002.3,51683,119198,70044.2,35343,129882,6179.04,1296.54,1241.52,140.43,370.8,36407.1,0.290016
76173.3,48357,103234,36363.6,24933,95581.1,3706.92,661.08,957.18,111.6,311.4,21778.7,0.290016
44221.1,30124,96204.8,13932.2,10940,83461,778.68,138.6,189.84,26.97,25.2,6048.09,0.292103
38700.2,25098,101054,21827.4,15319,93379.5,1422.96,218.82,230.16,32.55,81,11786.4,0.292103
48241.9,32844,96260.5,20965.6,15573,88229.5,1353.24,331.38,338.94,22.32,120.6,11094.9,0.292103
72824.5,50471,94561.8,24380.2,17604,90762.2,1002.96,710.64,817.32,105.09,223.2,25211.3,0.294189
54945.1,37399,96282.8,23362.1,15939,96057.3,2252.04,690.48,704.34,79.05,114.3,22287.2,0.295232
104293,61931,110364,27600.7,19302,93712.6,1199.52,783.3,827.4,119.97,391.5,27167.1,0.295232
68379.5,48760,91905.6,25914,18556,91523,1875.72,383.04,366.24,71.61,121.5,14149.4,0.295232
