"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
50325.1,33947,97154.6,20322.1,14991,88842,1347.36,779.94,828.66,55.8,154.8,29072.2,0.234218
65997.4,44794,96557.7,26786.8,19971,87902.3,1359.12,1079.4,1267.98,69.75,99,36273.2,0.235263
75788.3,54452,91215.4,26248.3,19027,90408.9,1195.32,1186.5,1315.02,58.59,116.1,40928.9,0.236309
38546.9,29380,85984,19362,9904,128121,105,174.3,263.76,25.11,82.8,5217.37,0.237355
134445,73320,120171,83460.7,42305,129292,2441.04,3919.86,5217.24,180.42,752.4,142856,0.237355
75142.9,52341,94086.2,20590.9,15389,87689,806.4,837.06,1056.72,51.15,195.3,35873.8,0.237355
47749.8,28868,108401,26569.2,18924,92012.2,785.4,497.28,443.52,68.82,143.1,17723,0.2384
45587.5,31520,94785,16836.1,13220,83462.3,86.52,84,157.08,0,126.9,2683.91,0.240491
64912.4,42370,100404,47859,28258,110995,2486.4,2141.58,2814.84,96.72,359.1,70618.3,0.240491
71943.2,36982,127491,43521.2,26950,105833,2088.24,1208.76,1547.28,101.37,342.9,37116.3,0.242583
44667.7,37742,77561.9,13540,11539,76900.5,185.64,623.28,618.24,49.29,80.1,27930,0.243628
39546.5,19863,130480,53664.2,23819,147653,2720.76,2058.84,2565.78,121.83,479.7,61549.4,0.24572
66005.8,46689,92650.4,21421.7,16693,84100.6,357,179.34,209.58,43.71,80.1,9169.78,0.247811
84100.8,44326,124343,34539.1,22686,99777.6,1552.32,1499.4,1957.62,98.58,328.5,53597.4,0.251993
78062.6,55722,91811.3,28589.4,20522,91298.8,1212.12,764.4,853.02,60.45,167.4,30036.3,0.254084
48624.1,26907,118431,44455.3,28863,100940,3350.76,1979.04,2486.82,40.92,342,74720,0.254084
141980,83228,111799,126081,72124,114565,3579.24,3654.42,4623.36,332.94,870.3,126948,0.25513
67365.9,47655,92642.8,20346.5,15343,86907.8,733.32,567.84,700.98,43.71,50.4,20441.1,0.257221
63361.9,41454,100171,41086.1,31050,86718.8,924.84,1027.74,1257.06,85.56,166.5,34149.8,0.260358
57306.2,32951,113976,31138,20347,100293,1434.72,1109.22,1316.28,73.47,130.5,41610.3,0.260358
52633.7,32778,105235,25482.2,18986,87959.8,720.72,928.62,1379.28,58.59,90,39724.1,0.263495
