"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
58244.2,37553,101645,22639.7,13881,106888,24.36,63.84,-60.9,107.88,4944.6,77.88,0.222722
66453.8,39958,108992,27284,20110,88915.3,114.24,46.62,-22.68,79.05,3542.4,55.46,0.223814
71524.6,52089,89989,20692.6,15673,86525.1,71.4,27.72,22.26,74.4,4699.8,33.04,0.225997
106079,62342,111514,26373.5,18954,91189.9,64.68,41.16,50.82,137.64,6077.7,55.46,0.228181
75588.8,45104,109830,19262,13900,90817.1,11.76,57.54,22.68,108.81,3167.1,1.77,0.228181
49732.9,30818,105759,20050,14442,90984.2,87.36,33.18,11.76,70.68,3203.1,4.72,0.231456
78132.6,41170,124374,35119.6,17846,128970,116.76,78.54,62.16,156.24,4945.5,52.51,0.231456
60821.6,33436,119213,26643.1,17173,101676,91.56,35.28,55.02,133.92,5374.8,92.63,0.231456
68062.4,36563,121996,34364.4,22219,101359,101.64,43.68,46.2,137.64,5332.5,83.19,0.232548
62927.9,39443,104557,20833.7,15095,90450.9,4.2,40.32,3.36,66.03,3647.7,30.09,0.233639
84033.6,50439,109186,34690.3,24683,92106.5,59.64,59.64,2.1,101.37,5506.2,54.87,0.234731
40134.5,27941,94136,32923,21429,100688,100.8,56.7,58.8,70.68,3895.2,82.6,0.235823
63643.3,39007,106928,42509,24098,115606,115.92,90.3,59.22,124.62,5517,101.48,0.236915
72546.6,36424,130530,43469.2,20305,140300,62.16,85.26,84.42,91.14,5936.4,79.06,0.239098
39235.7,24004,107122,20463.2,14212,94362.4,43.68,56.28,38.64,74.4,6303.6,46.61,0.239098
56028,40501,90660.8,13534.1,10629,83448.1,-10.08,52.5,36.96,102.3,4164.3,34.22,0.24019
111329,64812,112572,48480.6,24472,129831,101.64,129.36,136.08,281.79,16380,195.29,0.24019
46855.2,35257,87094.8,11786,9588,80560.1,34.44,38.64,-46.2,39.06,1931.4,29.5,0.241282
80698.1,48534,108968,21394.8,14046,99824.1,72.24,62.58,66.36,147.87,8091,47.79,0.242374
74083.1,44017,110301,23742.6,16157,96304.7,73.08,39.06,18.48,62.31,4973.4,56.05,0.243465
30706.9,21637,93007.7,32110.7,19629,107209,217.56,48.72,49.56,40.92,2789.1,207.68,0.243465
74634,41497,117869,25376.4,16804,98968.6,81.48,84.42,16.38,108.81,4846.5,79.06,0.243465
109278,62143,115244,36440.9,26002,91846.4,73.92,75.6,-2.94,158.1,6664.5,116.23,0.244557
117088,69327,110685,23390.6,16459,93136.2,44.52,25.62,-2.94,132.06,5951.7,63.13,0.245649
34400.1,15053,149767,57911.3,29584,128288,36.12,92.4,29.82,1.86,126,22.42,0.246741
81225.2,47976,110955,28283.6,21064,87998.3,97.44,70.56,-7.98,135.78,5846.4,105.61,0.246741
55106.8,35324,102239,18279.2,13461,88994,32.76,55.02,10.08,101.37,3234.6,40.12,0.248924
51625,30256,111822,27174.8,18252,97574.5,44.52,78.96,-29.82,154.38,8342.1,47.2,0.248924
59496.5,39144,99610.7,22566.6,16101,91853,23.52,47.46,43.26,86.49,3384.9,21.24,0.248924
72331.7,37795,125422,30477.7,18467,108160,78.12,46.2,74.34,152.52,7546.5,48.38,0.250016
77319.9,51829,97768.4,27365.5,19945,89918.6,61.32,60.48,25.2,111.6,4461.3,55.46,0.250016
66920,44421,98729.6,23165.5,17165,88446,55.44,54.18,26.04,68.82,2960.1,45.43,0.251108
46323.9,24087,126038,67556.2,30571,144822,146.16,76.86,31.08,38.13,1027.8,93.81,0.2522
27202.7,17719,100613,46719.1,26459,115718,64.68,107.1,98.7,2.79,310.5,55.46,0.2522
59493,37551,103830,41653.9,24210,112756,119.28,62.16,-18.48,148.8,5188.5,166.38,0.253291
54677.7,34202,104770,38993.6,19059,134083,156.24,76.44,54.6,108.81,4528.8,149.27,0.253291
40667.9,23854,111730,21501.5,14365,98094,126.84,26.04,2.94,84.63,4704.3,107.38,0.253291
73363.5,49006,98109.4,31269.8,22675,90377.1,53.76,55.02,57.54,147.87,9786.6,92.04,0.253291
110701,64566,112364,51779.3,29998,113121,129.36,99.54,83.16,207.39,6166.8,166.38,0.254383
49175,29243,110205,32539.9,23807,89576,30.24,33.18,62.58,127.41,5001.3,83.19,0.254383
66750.6,37936,115314,34498.8,22464,100646,66.36,57.54,30.66,175.77,7857,83.78,0.255475
