recombined_construct,target,lane,adj_band_vol_int,band_vol_int,adj_lane_vol_int,lane_vol_int,bkgd_vol_int,norm_factor
G758A,actin,1,13506320,34856560,15967760,101001200,85033440,N/A
G755A,actin,2,12747824,27885848,21444344,78841988,57397644,N/A
G875A,actin,3,14714112,32350728,26410656,96030008,69619352,N/A
G822A,actin,4,19206532,41260564,25210864,101065136,75854272,N/A
G821A,actin,5,22583004,41724664,28359060,91033028,62673968,N/A
G825F,actin,6,20189132,38506496,32018888,94485796,62466908,N/A
G757A,actin,7,12904564,28209324,18510688,81306648,62795960,N/A
G876C,actin,8,26508168,49302720,30983792,83850460,52866668,N/A
G820E,actin,9,17727464,31269460,27329132,73925520,46596388,N/A
G823B,actin,10,15838220,31177048,24301160,82503108,58201948,N/A
G900A,actin,11,20318655,36546515,26260750,75609370,49348620,N/A
